,Unnamed: 0,lyric,line,track_title,album,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,Without Stopwords,With Lemmatization,Without Stopwords and With Lemmatization,Lowercase and Expanded Contraction
77,77,he is the reason for the teardrops on my guitar,13,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,reason teardrops guitar,he be the reason for the teardrop on my guitar,reason teardrop guitar,he is the reason for the teardrops on my guitar
78,78,The only thing that keeps me wishing on a wishing star,14,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,thing keeps wishing wishing star,the only thing that keep me wish on a wishing star,thing keep wish wishing star,the only thing that keeps me wishing on a wishing star
79,79,he is the song in the car,15,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,song car,he be the song in the car,song car,he is the song in the car
80,80,"I keep singing, do not know why I do...",16,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,keep singing know,i keep sing do not know why i do,keep sing know,i keep singing do not know why i do
81,81,Drew walks by me,17,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,drew walks,drew walk by me,drew walk,drew walks by me
82,82,cannot he tell that I cannot breathe?,18,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,cannot tell cannot breathe,cannot he tell that i cannot breathe,cannot tell cannot breathe,cannot he tell that i cannot breathe
83,83,"And there he goes, so perfectly",19,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,goes perfectly,and there he go so perfectly,go perfectly,and there he goes so perfectly
84,84,The kind of flawless I wish I could be,20,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,kind flawless wish could,the kind of flawless i wish i could be,kind flawless wish could,the kind of flawless i wish i could be
85,85,"she would better hold him tight, give him all her love",21,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,would better hold tight give love,she would well hold him tight give him all her love,would well hold tight give love,she would better hold him tight give him all her love
86,86,Look in those beautiful eyes and know she is lucky because,22,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953,look beautiful eyes know lucky,look in those beautiful eye and know she be lucky because,look beautiful eye know lucky,look in those beautiful eyes and know she is lucky because
