,lyric,line,track_title,album,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
123,And you come away with a great little story,11,Cold As You,Taylor Swift,2006-10-24,239013,50,0.418,0.217,0.48200000000000004,0.0,0.12300000000000001,-5.769,0.0266,0.261,175.558
124,Of a mess of a dreamer with the nerve to adore you,12,Cold As You,Taylor Swift,2006-10-24,239013,50,0.418,0.217,0.48200000000000004,0.0,0.12300000000000001,-5.769,0.0266,0.261,175.558
125,"You never did give a damn thing honey but I cried, cried for you",17,Cold As You,Taylor Swift,2006-10-24,239013,50,0.418,0.217,0.48200000000000004,0.0,0.12300000000000001,-5.769,0.0266,0.261,175.558
126,"And I know you wouldn't have told nobody if I died, died for you",18,Cold As You,Taylor Swift,2006-10-24,239013,50,0.418,0.217,0.48200000000000004,0.0,0.12300000000000001,-5.769,0.0266,0.261,175.558
127,(Died for you),19,Cold As You,Taylor Swift,2006-10-24,239013,50,0.418,0.217,0.48200000000000004,0.0,0.12300000000000001,-5.769,0.0266,0.261,175.558
128,Every smile you fake is so condescending,21,Cold As You,Taylor Swift,2006-10-24,239013,50,0.418,0.217,0.48200000000000004,0.0,0.12300000000000001,-5.769,0.0266,0.261,175.558
129,Counting all the scars you made,22,Cold As You,Taylor Swift,2006-10-24,239013,50,0.418,0.217,0.48200000000000004,0.0,0.12300000000000001,-5.769,0.0266,0.261,175.558
130,I didn't know what I would find,1,The Outside,Taylor Swift,2006-10-24,207106,47,0.589,0.00491,0.805,0.0,0.24,-4.055,0.0293,0.591,112.98200000000001
131,"When I went looking for a reason, I know",2,The Outside,Taylor Swift,2006-10-24,207106,47,0.589,0.00491,0.805,0.0,0.24,-4.055,0.0293,0.591,112.98200000000001
132,I didn't read between the lines,3,The Outside,Taylor Swift,2006-10-24,207106,47,0.589,0.00491,0.805,0.0,0.24,-4.055,0.0293,0.591,112.98200000000001
133,"And, baby, I've got nowhere to go",4,The Outside,Taylor Swift,2006-10-24,207106,47,0.589,0.00491,0.805,0.0,0.24,-4.055,0.0293,0.591,112.98200000000001
134,I tried to take the road less traveled by,5,The Outside,Taylor Swift,2006-10-24,207106,47,0.589,0.00491,0.805,0.0,0.24,-4.055,0.0293,0.591,112.98200000000001
135,But nothing seems to work the first few times,6,The Outside,Taylor Swift,2006-10-24,207106,47,0.589,0.00491,0.805,0.0,0.24,-4.055,0.0293,0.591,112.98200000000001
136,Am I right?,7,The Outside,Taylor Swift,2006-10-24,207106,47,0.589,0.00491,0.805,0.0,0.24,-4.055,0.0293,0.591,112.98200000000001
137,So how can I ever try to be better?,8,The Outside,Taylor Swift,2006-10-24,207106,47,0.589,0.00491,0.805,0.0,0.24,-4.055,0.0293,0.591,112.98200000000001
138,Nobody ever lets me in,9,The Outside,Taylor Swift,2006-10-24,207106,47,0.589,0.00491,0.805,0.0,0.24,-4.055,0.0293,0.591,112.98200000000001
139,"I can still see you, this ain't the best view",10,The Outside,Taylor Swift,2006-10-24,207106,47,0.589,0.00491,0.805,0.0,0.24,-4.055,0.0293,0.591,112.98200000000001
140,On the outside looking in,11,The Outside,Taylor Swift,2006-10-24,207106,47,0.589,0.00491,0.805,0.0,0.24,-4.055,0.0293,0.591,112.98200000000001
141,I've been a lot of lonely places,12,The Outside,Taylor Swift,2006-10-24,207106,47,0.589,0.00491,0.805,0.0,0.24,-4.055,0.0293,0.591,112.98200000000001
